iterations,cost
0,0.149183
1,0.148537
2,0.147906
3,0.147291
4,0.146691
5,0.146104
6,0.145532
7,0.144972
8,0.144424
9,0.143889
10,0.143365
11,0.142852
12,0.142350
13,0.141857
14,0.141375
15,0.140902
16,0.140437
17,0.139982
18,0.139534
19,0.139095
20,0.138663
21,0.138239
22,0.137822
23,0.137412
24,0.137008
25,0.136611
26,0.136220
27,0.135835
28,0.135456
29,0.135082
30,0.134713
31,0.134350
32,0.133992
33,0.133638
34,0.133289
35,0.132945
36,0.132604
37,0.132269
38,0.131937
39,0.131609
40,0.131285
41,0.130964
42,0.130647
43,0.130334
44,0.130024
45,0.129717
46,0.129413
47,0.129112
48,0.128815
49,0.128520
50,0.128228
51,0.127938
52,0.127651
53,0.127367
54,0.127085
55,0.126806
56,0.126529
57,0.126254
58,0.125982
59,0.125711
60,0.125443
61,0.125177
62,0.124913
63,0.124650
64,0.124390
65,0.124131
66,0.123874
67,0.123619
68,0.123366
69,0.123114
70,0.122864
71,0.122615
72,0.122368
73,0.122123
74,0.121879
75,0.121636
76,0.121395
77,0.121155
78,0.120916
79,0.120679
80,0.120443
81,0.120209
82,0.119975
83,0.119743
84,0.119512
85,0.119282
86,0.119053
87,0.118825
88,0.118599
89,0.118373
90,0.118148
91,0.117925
92,0.117702
93,0.117481
94,0.117260
95,0.117041
96,0.116822
97,0.116604
98,0.116387
99,0.116171
100,0.115956
101,0.115742
102,0.115529
103,0.115316
104,0.115104
105,0.114893
106,0.114683
107,0.114474
108,0.114265
109,0.114057
110,0.113850
111,0.113644
112,0.113438
113,0.113233
114,0.113029
115,0.112825
116,0.112622
117,0.112420
118,0.112218
119,0.112017
120,0.111817
121,0.111618
122,0.111419
123,0.111220
124,0.111023
125,0.110825
126,0.110629
127,0.110433
128,0.110238
129,0.110043
130,0.109849
131,0.109655
132,0.109462
133,0.109270
134,0.109078
135,0.108887
136,0.108696
137,0.108506
138,0.108316
139,0.108127
140,0.107939
141,0.107750
142,0.107563
143,0.107376
144,0.107189
145,0.107003
146,0.106818
147,0.106633
148,0.106448
149,0.106264
150,0.106081
151,0.105898
152,0.105715
153,0.105533
154,0.105352
155,0.105170
156,0.104990
157,0.104810
158,0.104630
159,0.104451
160,0.104272
161,0.104094
162,0.103916
163,0.103738
164,0.103561
165,0.103385
166,0.103209
167,0.103033
168,0.102858
169,0.102683
170,0.102509
171,0.102335
172,0.102162
173,0.101989
174,0.101816
175,0.101644
176,0.101472
177,0.101301
178,0.101130
179,0.100959
180,0.100789
181,0.100620
182,0.100450
183,0.100282
184,0.100113
185,0.099945
186,0.099778
187,0.099610
188,0.099444
189,0.099277
190,0.099111
191,0.098946
192,0.098780
193,0.098616
194,0.098451
195,0.098287
196,0.098124
197,0.097960
198,0.097798
199,0.097635
200,0.097473
201,0.097311
202,0.097150
203,0.096989
204,0.096829
205,0.096668
206,0.096509
207,0.096349
208,0.096190
209,0.096032
210,0.095873
211,0.095715
212,0.095558
213,0.095401
214,0.095244
215,0.095088
216,0.094932
217,0.094776
218,0.094621
219,0.094466
220,0.094311
221,0.094157
222,0.094003
223,0.093849
224,0.093696
225,0.093544
226,0.093391
227,0.093239
228,0.093087
229,0.092936
230,0.092785
231,0.092634
232,0.092484
233,0.092334
234,0.092185
235,0.092035
236,0.091886
237,0.091738
238,0.091590
239,0.091442
240,0.091294
241,0.091147
242,0.091000
243,0.090854
244,0.090708
245,0.090562
246,0.090416
247,0.090271
248,0.090126
249,0.089982
250,0.089838
251,0.089694
252,0.089551
253,0.089408
254,0.089265
255,0.089122
256,0.088980
257,0.088838
258,0.088697
259,0.088556
260,0.088415
261,0.088275
262,0.088134
263,0.087995
264,0.087855
265,0.087716
266,0.087577
267,0.087438
268,0.087300
269,0.087162
270,0.087025
271,0.086888
272,0.086751
273,0.086614
274,0.086478
275,0.086342
276,0.086206
277,0.086071
278,0.085936
279,0.085801
280,0.085666
281,0.085532
282,0.085399
283,0.085265
284,0.085132
285,0.084999
286,0.084866
287,0.084734
288,0.084602
289,0.084470
290,0.084339
291,0.084208
292,0.084077
293,0.083947
294,0.083817
295,0.083687
296,0.083557
297,0.083428
298,0.083299
299,0.083170
300,0.083042
301,0.082914
302,0.082786
303,0.082659
304,0.082532
305,0.082405
306,0.082278
307,0.082152
308,0.082026
309,0.081900
310,0.081775
311,0.081649
312,0.081525
313,0.081400
314,0.081276
315,0.081152
316,0.081028
317,0.080905
318,0.080781
319,0.080659
320,0.080536
321,0.080414
322,0.080292
323,0.080170
324,0.080048
325,0.079927
326,0.079806
327,0.079686
328,0.079565
329,0.079445
330,0.079325
331,0.079206
332,0.079086
333,0.078967
334,0.078849
335,0.078730
336,0.078612
337,0.078494
338,0.078376
339,0.078259
340,0.078142
341,0.078025
342,0.077908
343,0.077792
344,0.077676
345,0.077560
346,0.077445
347,0.077330
348,0.077215
349,0.077100
350,0.076985
351,0.076871
352,0.076757
353,0.076643
354,0.076530
355,0.076417
356,0.076304
357,0.076191
358,0.076079
359,0.075966
360,0.075854
361,0.075743
362,0.075631
363,0.075520
364,0.075409
365,0.075299
366,0.075188
367,0.075078
368,0.074968
369,0.074858
370,0.074749
371,0.074640
372,0.074531
373,0.074422
374,0.074314
375,0.074205
376,0.074097
377,0.073990
378,0.073882
379,0.073775
380,0.073668
381,0.073561
382,0.073455
383,0.073348
384,0.073242
385,0.073136
386,0.073031
387,0.072926
388,0.072820
389,0.072716
390,0.072611
391,0.072506
392,0.072402
393,0.072298
394,0.072195
395,0.072091
396,0.071988
397,0.071885
398,0.071782
399,0.071679
400,0.071577
401,0.071475
402,0.071373
403,0.071271
404,0.071170
405,0.071069
406,0.070968
407,0.070867
408,0.070766
409,0.070666
410,0.070566
411,0.070466
412,0.070366
413,0.070267
414,0.070168
415,0.070069
416,0.069970
417,0.069871
418,0.069773
419,0.069675
420,0.069577
421,0.069479
422,0.069382
423,0.069284
424,0.069187
425,0.069090
426,0.068994
427,0.068897
428,0.068801
429,0.068705
430,0.068609
431,0.068514
432,0.068418
433,0.068323
434,0.068228
435,0.068133
436,0.068039
437,0.067944
438,0.067850
439,0.067756
440,0.067663
441,0.067569
442,0.067476
443,0.067382
444,0.067290
445,0.067197
446,0.067104
447,0.067012
448,0.066920
449,0.066828
450,0.066736
451,0.066645
452,0.066553
453,0.066462
454,0.066371
455,0.066280
456,0.066190
457,0.066099
458,0.066009
459,0.065919
460,0.065829
461,0.065740
462,0.065650
463,0.065561
464,0.065472
465,0.065383
466,0.065295
467,0.065206
468,0.065118
469,0.065030
470,0.064942
471,0.064854
472,0.064767
473,0.064679
474,0.064592
475,0.064505
476,0.064419
477,0.064332
478,0.064246
479,0.064159
480,0.064073
481,0.063987
482,0.063902
483,0.063816
484,0.063731
485,0.063646
486,0.063561
487,0.063476
488,0.063392
489,0.063307
490,0.063223
491,0.063139
492,0.063055
493,0.062971
494,0.062888
495,0.062804
496,0.062721
497,0.062638
498,0.062555
499,0.062473
500,0.062390
501,0.062308
502,0.062226
503,0.062144
504,0.062062
505,0.061980
506,0.061899
507,0.061818
508,0.061736
509,0.061655
510,0.061575
511,0.061494
512,0.061414
513,0.061333
514,0.061253
515,0.061173
516,0.061094
517,0.061014
518,0.060934
519,0.060855
520,0.060776
521,0.060697
522,0.060618
523,0.060540
524,0.060461
525,0.060383
526,0.060305
527,0.060227
528,0.060149
529,0.060071
530,0.059994
531,0.059916
532,0.059839
533,0.059762
534,0.059685
535,0.059609
536,0.059532
537,0.059456
538,0.059379
539,0.059303
540,0.059227
541,0.059152
542,0.059076
543,0.059001
544,0.058925
545,0.058850
546,0.058775
547,0.058700
548,0.058626
549,0.058551
550,0.058477
551,0.058402
552,0.058328
553,0.058254
554,0.058181
555,0.058107
556,0.058033
557,0.057960
558,0.057887
559,0.057814
560,0.057741
561,0.057668
562,0.057596
563,0.057523
564,0.057451
565,0.057379
566,0.057307
567,0.057235
568,0.057163
569,0.057091
570,0.057020
571,0.056949
572,0.056878
573,0.056807
574,0.056736
575,0.056665
576,0.056594
577,0.056524
578,0.056454
579,0.056383
580,0.056313
581,0.056244
582,0.056174
583,0.056104
584,0.056035
585,0.055965
586,0.055896
587,0.055827
588,0.055758
589,0.055689
590,0.055621
591,0.055552
592,0.055484
593,0.055416
594,0.055347
595,0.055280
596,0.055212
597,0.055144
598,0.055076
599,0.055009
600,0.054942
601,0.054875
602,0.054807
603,0.054741
604,0.054674
605,0.054607
606,0.054541
607,0.054474
608,0.054408
609,0.054342
610,0.054276
611,0.054210
612,0.054144
613,0.054079
614,0.054013
615,0.053948
616,0.053883
617,0.053818
618,0.053753
619,0.053688
620,0.053623
621,0.053558
622,0.053494
623,0.053430
624,0.053365
625,0.053301
626,0.053237
627,0.053174
628,0.053110
629,0.053046
630,0.052983
631,0.052919
632,0.052856
633,0.052793
634,0.052730
635,0.052667
636,0.052605
637,0.052542
638,0.052479
639,0.052417
640,0.052355
641,0.052293
642,0.052231
643,0.052169
644,0.052107
645,0.052045
646,0.051984
647,0.051922
648,0.051861
649,0.051800
650,0.051739
651,0.051678
652,0.051617
653,0.051556
654,0.051496
655,0.051435
656,0.051375
657,0.051315
658,0.051254
659,0.051194
660,0.051135
661,0.051075
662,0.051015
663,0.050955
664,0.050896
665,0.050837
666,0.050777
667,0.050718
668,0.050659
669,0.050600
670,0.050542
671,0.050483
672,0.050424
673,0.050366
674,0.050308
675,0.050249
676,0.050191
677,0.050133
678,0.050075
679,0.050018
680,0.049960
681,0.049902
682,0.049845
683,0.049787
684,0.049730
685,0.049673
686,0.049616
687,0.049559
688,0.049502
689,0.049445
690,0.049389
691,0.049332
692,0.049276
693,0.049220
694,0.049163
695,0.049107
696,0.049051
697,0.048996
698,0.048940
699,0.048884
700,0.048828
701,0.048773
702,0.048718
703,0.048662
704,0.048607
705,0.048552
706,0.048497
707,0.048442
708,0.048388
709,0.048333
710,0.048278
711,0.048224
712,0.048170
713,0.048115
714,0.048061
715,0.048007
716,0.047953
717,0.047899
718,0.047846
719,0.047792
720,0.047738
721,0.047685
722,0.047632
723,0.047578
724,0.047525
725,0.047472
726,0.047419
727,0.047366
728,0.047313
729,0.047261
730,0.047208
731,0.047156
732,0.047103
733,0.047051
734,0.046999
735,0.046947
736,0.046895
737,0.046843
738,0.046791
739,0.046739
740,0.046688
741,0.046636
742,0.046585
743,0.046533
744,0.046482
745,0.046431
746,0.046380
747,0.046329
748,0.046278
749,0.046227
750,0.046176
751,0.046126
752,0.046075
753,0.046025
754,0.045974
755,0.045924
756,0.045874
757,0.045824
758,0.045774
759,0.045724
760,0.045674
761,0.045625
762,0.045575
763,0.045525
764,0.045476
765,0.045427
766,0.045377
767,0.045328
768,0.045279
769,0.045230
770,0.045181
771,0.045132
772,0.045084
773,0.045035
774,0.044986
775,0.044938
776,0.044889
777,0.044841
778,0.044793
779,0.044745
780,0.044697
781,0.044649
782,0.044601
783,0.044553
784,0.044505
785,0.044458
786,0.044410
787,0.044363
788,0.044315
789,0.044268
790,0.044221
791,0.044174
792,0.044127
793,0.044080
794,0.044033
795,0.043986
796,0.043939
797,0.043893
798,0.043846
799,0.043800
800,0.043753
801,0.043707
802,0.043661
803,0.043614
804,0.043568
805,0.043522
806,0.043476
807,0.043431
808,0.043385
809,0.043339
810,0.043294
811,0.043248
812,0.043203
813,0.043157
814,0.043112
815,0.043067
816,0.043022
817,0.042977
818,0.042932
819,0.042887
820,0.042842
821,0.042797
822,0.042753
823,0.042708
824,0.042664
825,0.042619
826,0.042575
827,0.042531
828,0.042486
829,0.042442
830,0.042398
831,0.042354
832,0.042310
833,0.042267
834,0.042223
835,0.042179
836,0.042136
837,0.042092
838,0.042049
839,0.042005
840,0.041962
841,0.041919
842,0.041876
843,0.041833
844,0.041790
845,0.041747
846,0.041704
847,0.041661
848,0.041618
849,0.041576
850,0.041533
851,0.041491
852,0.041448
853,0.041406
854,0.041364
855,0.041322
856,0.041279
857,0.041237
858,0.041195
859,0.041154
860,0.041112
861,0.041070
862,0.041028
863,0.040987
864,0.040945
865,0.040904
866,0.040862
867,0.040821
868,0.040779
869,0.040738
870,0.040697
871,0.040656
872,0.040615
873,0.040574
874,0.040533
875,0.040493
876,0.040452
877,0.040411
878,0.040371
879,0.040330
880,0.040290
881,0.040249
882,0.040209
883,0.040169
884,0.040128
885,0.040088
886,0.040048
887,0.040008
888,0.039968
889,0.039929
890,0.039889
891,0.039849
892,0.039809
893,0.039770
894,0.039730
895,0.039691
896,0.039651
897,0.039612
898,0.039573
899,0.039534
900,0.039495
901,0.039455
902,0.039417
903,0.039378
904,0.039339
905,0.039300
906,0.039261
907,0.039222
908,0.039184
909,0.039145
910,0.039107
911,0.039068
912,0.039030
913,0.038992
914,0.038954
915,0.038915
916,0.038877
917,0.038839
918,0.038801
919,0.038763
920,0.038725
921,0.038688
922,0.038650
923,0.038612
924,0.038575
925,0.038537
926,0.038500
927,0.038462
928,0.038425
929,0.038387
930,0.038350
931,0.038313
932,0.038276
933,0.038239
934,0.038202
935,0.038165
936,0.038128
937,0.038091
938,0.038054
939,0.038018
940,0.037981
941,0.037945
942,0.037908
943,0.037872
944,0.037835
945,0.037799
946,0.037762
947,0.037726
948,0.037690
949,0.037654
950,0.037618
951,0.037582
952,0.037546
953,0.037510
954,0.037474
955,0.037438
956,0.037403
957,0.037367
958,0.037332
959,0.037296
960,0.037260
961,0.037225
962,0.037190
963,0.037154
964,0.037119
965,0.037084
966,0.037049
967,0.037014
968,0.036979
969,0.036944
970,0.036909
971,0.036874
972,0.036839
973,0.036804
974,0.036770
975,0.036735
976,0.036700
977,0.036666
978,0.036631
979,0.036597
980,0.036563
981,0.036528
982,0.036494
983,0.036460
984,0.036426
985,0.036392
986,0.036357
987,0.036323
988,0.036290
989,0.036256
990,0.036222
991,0.036188
992,0.036154
993,0.036121
994,0.036087
995,0.036053
996,0.036020
997,0.035986
998,0.035953
999,0.035920
1000,0.035886
1001,0.035853
1002,0.035820
1003,0.035787
1004,0.035754
1005,0.035721
1006,0.035688
1007,0.035655
1008,0.035622
1009,0.035589
1010,0.035556
1011,0.035523
1012,0.035491
1013,0.035458
1014,0.035426
1015,0.035393
1016,0.035361
1017,0.035328
1018,0.035296
1019,0.035263
1020,0.035231
1021,0.035199
1022,0.035167
1023,0.035135
1024,0.035102
1025,0.035070
1026,0.035038
1027,0.035007
1028,0.034975
1029,0.034943
1030,0.034911
1031,0.034879
1032,0.034848
1033,0.034816
1034,0.034784
1035,0.034753
1036,0.034721
1037,0.034690
1038,0.034658
1039,0.034627
1040,0.034596
1041,0.034565
1042,0.034533
1043,0.034502
1044,0.034471
1045,0.034440
1046,0.034409
1047,0.034378
1048,0.034347
1049,0.034316
1050,0.034285
1051,0.034255
1052,0.034224
1053,0.034193
1054,0.034163
1055,0.034132
1056,0.034101
1057,0.034071
1058,0.034040
1059,0.034010
1060,0.033980
1061,0.033949
1062,0.033919
1063,0.033889
1064,0.033859
1065,0.033829
1066,0.033799
1067,0.033768
1068,0.033738
1069,0.033709
